Unit,Task,Question,Type,Correct Row,Answer,Answer,Answer,Answer
Variables and Data Types,Documetation,Text in the program that is meant for programmers to read and ignored by the program itself.,Multiple Choice,H,syntax,variable,comment,literal
Variables and Data Types,Documetation,A way of writing identifiers without using spaces that is easily readable.,Multiple Choice,G,constant,camelCase,string,float
Variables and Data Types,Documetation,A set of common rules that programmers share to help each other understand one another's code.,Multiple Choice,F,convention,expression,assignment,keyword
Variables and Data Types,Documetation,A way of naming objects in code that is easy for humans to read.,Multiple Choice,I,boolean,comment,datatype,self-documenting
Variables and Data Types,Documetation,Why might a programmer include a comment above a complex calculation in their code?,Multiple Choice,F,To explain the purpose or logic of the calculation,To make the program run faster,To change the syntax of the code,To store values for later use
Variables and Data Types,Documetation,Which of these is an example of a self-documenting variable name?,Multiple Choice,H,x1,a,totalScore,val
Variables and Data Types,Documetation,"If a variable is named 'temp', what is a better self-documenting alternative if it stores a user's age?",Multiple Choice,G,t,userAge,data,number
Variables and Data Types,Documetation,What is the main benefit of using self-documenting names instead of comments for simple values?,Multiple Choice,I,It makes the program run faster,It allows multiple programmers to edit at once,It replaces all debugging tools,It reduces the need for extra comments and makes code easier to read
Variables and Data Types,Documetation,Where is the best place to put a comment explaining a function’s purpose?,Multiple Choice,F,Directly above the function definition,Randomly in the middle of the code,After the closing brace of the function,In a separate text file
Variables and Data Types,Documetation,Which type of comment is most useful for reminding yourself or others of a TODO item in code?,Multiple Choice,G,A multiline comment explaining every line,Inline comment with a clear marker like TODO,No comment is needed for TODO items,A comment at the end of the program
Variables and Data Types,Documetation,Which symbol is used to create a single-line comment in Python?,Multiple Choice,F,#,//,/* */,--
Variables and Data Types,Documetation,How can you create a multi-line comment in Python?,Multiple Choice,G,Use multiple # symbols on each line,"Use triple quotes (''' or """""") around the comment text",Use /* and */ like in C,Use // at the beginning and end of the block
Variables and Data Types,Datatypes,A categorization of data that differentiates it from other data (numbers/letters/etc.).,Multiple Choice,G,expression,datatype,boolean,arithmetic operator
